contrast,backbone,n_pairs,mean_difference,cohens_d,lmm_p,bayesian_P_superiority,metric
Synthetic (pooled) vs WRS baseline,DenseNet-121,15,0.0291,0.48,0.0482,0.807,minority-class F1
Synthetic (pooled) vs WRS baseline,Swin-Tiny,15,0.0309,0.7,0.0013,0.897,minority-class F1
Synthetic (pooled) vs WRS baseline,Combined,30,0.03,0.57,0.0006,0.87,minority-class F1
Synthetic (pooled) vs all non-synthetic,DenseNet-121,15,0.0283,0.78,0.0017,0.919,minority-class F1
Synthetic (pooled) vs all non-synthetic,Swin-Tiny,15,0.0194,1.06,0.0052,0.968,minority-class F1
Synthetic (pooled) vs all non-synthetic,Combined,30,0.0238,0.84,0.0,0.948,minority-class F1
Synthetic (pooled) vs ROS (pooled),DenseNet-121,15,0.0163,0.58,0.1343,0.855,minority-class F1
Synthetic (pooled) vs ROS (pooled),Swin-Tiny,15,0.0197,0.59,0.0153,0.858,minority-class F1
Synthetic (pooled) vs ROS (pooled),Combined,30,0.018,0.59,0.0078,0.879,minority-class F1
Synthetic (pooled) vs RUS (pooled),DenseNet-121,15,0.0465,0.68,0.0002,0.891,minority-class F1
Synthetic (pooled) vs RUS (pooled),Swin-Tiny,15,0.0119,0.3,0.1341,0.709,minority-class F1
Synthetic (pooled) vs RUS (pooled),Combined,30,0.0292,0.51,0.0001,0.842,minority-class F1
Synthetic (pooled) vs Class-weighted BCE,DenseNet-121,15,0.0259,0.39,0.0884,0.763,minority-class F1
Synthetic (pooled) vs Class-weighted BCE,Swin-Tiny,15,0.0139,0.33,0.1423,0.726,minority-class F1
Synthetic (pooled) vs Class-weighted BCE,Combined,30,0.0199,0.36,0.0258,0.763,minority-class F1
Synthetic (pooled) vs Focal loss,DenseNet-121,15,0.0175,0.47,0.175,0.806,minority-class F1
Synthetic (pooled) vs Focal loss,Swin-Tiny,15,0.0274,0.64,0.0039,0.876,minority-class F1
Synthetic (pooled) vs Focal loss,Combined,30,0.0225,0.57,0.0049,0.867,minority-class F1
GPT-35 vs WRS baseline,DenseNet-121,15,0.0337,0.51,0.049,0.823,minority-class F1
GPT-35 vs WRS baseline,Swin-Tiny,15,0.0244,0.52,0.0431,0.829,minority-class F1
GPT-35 vs WRS baseline,Combined,30,0.029,0.51,0.0049,0.844,minority-class F1
GPT-35 vs ROS-35,DenseNet-121,15,0.0319,0.46,0.0735,0.801,minority-class F1
GPT-35 vs ROS-35,Swin-Tiny,15,0.0224,0.46,0.0777,0.797,minority-class F1
GPT-35 vs ROS-35,Combined,30,0.0272,0.46,0.0118,0.818,minority-class F1
GPT-35 vs ROS-70,DenseNet-121,15,0.0097,0.18,0.4912,0.629,minority-class F1
GPT-35 vs ROS-70,Swin-Tiny,15,0.0039,0.09,0.7358,0.564,minority-class F1
GPT-35 vs ROS-70,Combined,30,0.0068,0.14,0.449,0.608,minority-class F1
GPT-35 vs RUS-35,DenseNet-121,15,0.0597,0.61,0.0173,0.867,minority-class F1
GPT-35 vs RUS-35,Swin-Tiny,15,0.0123,0.24,0.3434,0.674,minority-class F1
GPT-35 vs RUS-35,Combined,30,0.036,0.45,0.0134,0.814,minority-class F1
GPT-35 vs RUS-70,DenseNet-121,15,0.0424,0.53,0.0397,0.833,minority-class F1
GPT-35 vs RUS-70,Swin-Tiny,15,-0.0015,-0.03,0.9041,0.477,minority-class F1
GPT-35 vs RUS-70,Combined,30,0.0205,0.3,0.1009,0.724,minority-class F1
GPT-35 vs Focal loss,DenseNet-121,15,0.0221,0.44,0.0875,0.79,minority-class F1
GPT-35 vs Focal loss,Swin-Tiny,15,0.0209,0.4,0.1192,0.769,minority-class F1
GPT-35 vs Focal loss,Combined,30,0.0215,0.43,0.0189,0.802,minority-class F1
GPT-35 vs Class-weighted BCE,DenseNet-121,15,0.0304,0.41,0.1085,0.776,minority-class F1
GPT-35 vs Class-weighted BCE,Swin-Tiny,15,0.0074,0.18,0.4754,0.633,minority-class F1
GPT-35 vs Class-weighted BCE,Combined,30,0.0189,0.32,0.0807,0.736,minority-class F1
Nano-35 vs WRS baseline,DenseNet-121,15,0.0187,0.26,0.3198,0.682,minority-class F1
Nano-35 vs WRS baseline,Swin-Tiny,15,0.0271,0.64,0.0128,0.877,minority-class F1
Nano-35 vs WRS baseline,Combined,30,0.0229,0.39,0.0323,0.78,minority-class F1
Nano-35 vs ROS-35,DenseNet-121,15,0.0169,0.31,0.2268,0.717,minority-class F1
Nano-35 vs ROS-35,Swin-Tiny,15,0.0251,0.46,0.0762,0.799,minority-class F1
Nano-35 vs ROS-35,Combined,30,0.021,0.39,0.0322,0.78,minority-class F1
Nano-35 vs ROS-70,DenseNet-121,15,-0.0053,-0.09,0.7376,0.436,minority-class F1
Nano-35 vs ROS-70,Swin-Tiny,15,0.0067,0.14,0.5934,0.601,minority-class F1
Nano-35 vs ROS-70,Combined,30,0.0007,0.01,0.9459,0.51,minority-class F1
Nano-35 vs RUS-35,DenseNet-121,15,0.0447,0.46,0.0729,0.801,minority-class F1
Nano-35 vs RUS-35,Swin-Tiny,15,0.015,0.22,0.3549,0.66,minority-class F1
Nano-35 vs RUS-35,Combined,30,0.0299,0.36,0.0492,0.762,minority-class F1
Nano-35 vs RUS-70,DenseNet-121,15,0.0274,0.36,0.1599,0.747,minority-class F1
Nano-35 vs RUS-70,Swin-Tiny,15,0.0012,0.03,0.9163,0.52,minority-class F1
Nano-35 vs RUS-70,Combined,30,0.0143,0.23,0.2108,0.675,minority-class F1
Nano-35 vs Focal loss,DenseNet-121,15,0.007,0.12,0.6528,0.585,minority-class F1
Nano-35 vs Focal loss,Swin-Tiny,15,0.0236,0.52,0.0454,0.827,minority-class F1
Nano-35 vs Focal loss,Combined,30,0.0153,0.29,0.1161,0.715,minority-class F1
Nano-35 vs Class-weighted BCE,DenseNet-121,15,0.0154,0.17,0.5029,0.625,minority-class F1
Nano-35 vs Class-weighted BCE,Swin-Tiny,15,0.0101,0.22,0.3856,0.66,minority-class F1
Nano-35 vs Class-weighted BCE,Combined,30,0.0127,0.18,0.3143,0.642,minority-class F1
Mixed-70 vs WRS baseline,DenseNet-121,15,0.0351,0.44,0.0764,0.791,minority-class F1
Mixed-70 vs WRS baseline,Swin-Tiny,15,0.0412,0.7,0.0068,0.896,minority-class F1
