backbone,condition,n_runs,f1_minor_mean,f1_minor_sd,f1_macro_mean,f1_macro_sd,auc_mean,auc_sd
DenseNet-121,WRS baseline,15,0.5796,0.0626,0.6781,0.0337,0.7415,0.041
DenseNet-121,Class-weighted BCE,15,0.5829,0.0853,0.6767,0.0519,0.7293,0.0565
DenseNet-121,Focal loss,15,0.5913,0.0545,0.6808,0.0339,0.7439,0.0358
DenseNet-121,GPT-35,15,0.6133,0.0518,0.6956,0.037,0.7426,0.0485
DenseNet-121,Nano-35,15,0.5983,0.0631,0.6835,0.0371,0.7489,0.0363
DenseNet-121,Mixed-70,15,0.6147,0.0442,0.6981,0.0291,0.7555,0.0426
DenseNet-121,ROS-35,15,0.5814,0.0671,0.6766,0.0502,0.7434,0.0313
DenseNet-121,ROS-70,15,0.6036,0.0419,0.6903,0.0306,0.7421,0.0308
DenseNet-121,RUS-35,15,0.5536,0.0929,0.657,0.0574,0.7292,0.0472
DenseNet-121,RUS-70,15,0.5709,0.0738,0.6674,0.0442,0.729,0.0443
Swin-Tiny,WRS baseline,15,0.5963,0.0556,0.6941,0.0346,0.7722,0.0357
Swin-Tiny,Class-weighted BCE,15,0.6132,0.0542,0.7007,0.0357,0.7746,0.0299
Swin-Tiny,Focal loss,15,0.5997,0.0618,0.6892,0.0419,0.7646,0.0311
Swin-Tiny,GPT-35,15,0.6206,0.0341,0.7007,0.028,0.7703,0.028
Swin-Tiny,Nano-35,15,0.6233,0.0448,0.7048,0.0339,0.7808,0.0338
Swin-Tiny,Mixed-70,15,0.6375,0.0364,0.7141,0.0246,0.7867,0.0287
Swin-Tiny,ROS-35,15,0.5982,0.0638,0.69,0.0398,0.7722,0.0342
Swin-Tiny,ROS-70,15,0.6167,0.0525,0.7042,0.0353,0.7775,0.0275
Swin-Tiny,RUS-35,15,0.6083,0.0441,0.7006,0.0269,0.7814,0.0203
Swin-Tiny,RUS-70,15,0.6221,0.041,0.7094,0.0276,0.7794,0.029
